command,Описание,Действие,Циклы,Code,Flags,Mask,Mask and,Mask xor,offset
"add Rd,Rr",Add two Registers,Rd←Rd+Rr,1,0000 11rd dddd rrrr,"Z,C,S,N,V,H",000011PPPPPPPPPP,1111110000000000,0000110000000000,0
"adc Rd,Rr",Add with Carry two Registers,Rd←Rd+Rr+C,1,0001 11rd dddd rrrr,"Z,C,S,N,V,H",000111PPPPPPPPPP,1111110000000000,0001110000000000,0
"adiw Rdl,K",Add Immediate to Word,Rdh:Rdl←Rdh:Rdl+K,2,1001 0110 KKdd KKKK,"Z,C,S,N,V",10010110PPPPPPPP,1111111100000000,1001011000000000,0
"sub Rd,Rr",Subtract two Registers,Rd←Rd-Rr,1,0001 10rd dddd rrrr,"Z,C,S,N,V,H",000110PPPPPPPPPP,1111110000000000,0001100000000000,0
"sbc Rd,Rr",Subtract with Carry two Registers,Rd←Rd-Rr-C,1,0000 10rd dddd rrrr,"Z,C,S,N,V,H",000010PPPPPPPPPP,1111110000000000,0000100000000000,0
"subi Rd,K",Subtract Constant from Register,Rd←Rd-K,1,0101 KKKK dddd KKKK,"Z,C,S,N,V,H",1010PPPPPPPPPPPP,1111000000000000,0101000000000000,0
"sbci Rd,K",Subtract with Carry Constant from Register,Rd←Rd-K-C,1,0100 KKKK dddd KKKK,"Z,C,S,N,V,H",0100PPPPPPPPPPPP,1111000000000000,0100000000000000,0
"sbiw Rdl,K",Subtract Immediate from Word,Rdh:Rdl←Rdh:Rdl-K,2,1001 0111 KKdd KKKK,"Z,C,S,N,V",10010111PPPPPPPP,1111111100000000,1001011100000000,0
"and Rd,Rr",Logical AND Registers,Rd←Rd AND Rr,1,0010 00rd dddd rrrr,"Z,S,N",001000PPPPPPPPPP,1111110000000000,0010000000000000,0
"andi Rd,K",Logical AND Register and Constant,Rd←Rd AND K,1,0111 KKKK dddd KKKK,"Z,S,N",0111PPPPPPPPPPPP,1111000000000000,0111000000000000,0
"or Rd,Rr",Logical OR Registers,Rd←Rd OR Rr,1,0010 10rd dddd rrrr,"Z,S,N",001010PPPPPPPPPP,1111110000000000,0010100000000000,0
"ori Rd,K",Logical OR Register and Constant,Rd←Rd OR K,1,0110 KKKK dddd KKKK,"Z,S,N",0110PPPPPPPPPPPP,1111000000000000,0110000000000000,0
"eor Rd,Rr",Exclusive OR Registers,Rd←Rd EOR Rr,1,0010 01rd dddd rrrr,"Z,S,N",001001PPPPPPPPPP,1111110000000000,0010010000000000,0
com Rd,One’s complement,Rd←0xFF-Rd,1,1001 010d dddd 0000,"Z,S,N",1001010PPPPP0000,1111111000001111,1001010000000000,0
neg Rd,Two’s complement,Rd←0x00-Rd,1,1001 010d dddd 0001,"Z,C,S,N,V,H",1001010PPPPP0001,1111111000001111,1001010000000001,0
"sbr Rd,K",Set Bit (s) in Register,Rd←Rd OR K,1,0110 KKKK dddd KKKK,"Z,S,N",0110PPPPPPPPPPPP,1111000000000000,0110000000000000,0
